"PdANo","PdNama"
1665,BOLT (S) M12 X 1.25 X 125 HT-30 7-Y (SP)
1666,BOLT (S) M12 X 1.25 X 150 HT-40 7-Y (SP)
1667,BOLT (S) M12 X 1.25 X 175 HT-35 7-Y (SP)
1668,BOLT (S) M12 X 1.25 X 185 HT-30 7-Y (SP)
1669,"BOLT (S) W 3/8 X 16 X 1 1/4 "" 4-B (SP)"
1670,"BOLT (S) W 3/8 "" X 16 X 1 1/2 "" 4-B (SP)"
1671,"BOLT (S) W 3/8 X 16 X 1 3/4"" 4-B (SP)"
1672,"BOLT (S) W 5/8"" X 11 X 2 1/2"" 4-B (SP)"
1673,BOLT (CRP) M4 X 0.7 X 15 4-Y (SP)
1674,BOLT (CRP) M6 X 1 X 30 4-Y (SP)
1675,"BOLT (CRC) M10 X 1.5 X 20 4-W, H-110 (SP)"
1676,"WING BOLT M8 X 1.25 X 20 4-W, H-110 (SP)"
1677,"NUT (R2) M16 X 2 (13) 7-W LEFT THREAD, H-110 (SP)"
1678,NUT M4 X 0.7 4-Y (SP)
1679,NUT (R2) M6 X 1.0 (5) 4-W (SP)
1680,NUT (R2) M6 X 1.0 (5) 4-Y (SP)
1681,NUT M6 X 1.0 7-W (SP)
1682,NUT M6 X 1.0 7-Y (SP)
1683,NUT (R2) M8 X 1.25 (6) 8-B (SP)
1684,NUT M10 X 1.5 4-W (SP)
1685,"NUT (R2) M10 X 1.5 (8) 7-W, H-110 (SP)"
1686,NUT (R2) M10 X 1.5 (8) 8-B
1687,NUT M10 X 1.5 8-W (SP)
1688,NUT (R2) M10 x 1.5 (8) 8-Y
1689,NUT (R2) M12 X 1.75 (10) 4-W (SP)
1690,NUT (R2) M12 X 1.75 (10) 4-Y (SP)
1691,"NUT (R2) M12 X 1.75 (10) 7-W, H-110 (SP)"
1692,NUT (R2) M12 X 1.75 (10) 7-Y (SP)
1693,"NUT (R2) M16 X 2 (13) 7-W, H-110 (SP)"
1694,NUT (R2) M16 X 2.0 (13) 8-Y
1695,"NUT (R2) M16 X 2 (13) 8-W, H-110 (SP)"
1696,"NUT (R2) W 1/2 "" X 12 (9) 4-B (SP)"
1697,"NUT (R2) W 1/2"" X 12 (9) 4-Y (SP)"
1698,"Nut (R2) W 5/8 ""x11 (12) 4-B—del"
1699,"NUT (R2) W 1 1/4"" X 7 (26) 4-B"
1700,NUT (S2) UNF 7/16 X 20 (9) 8-B (SP)
1701,"NUT (S2) M6 X 1 (5) 7-W, H-110 (SP)"
1702,NUT (S2) M8 X 1.25 (6) 4-W (SP)
1703,NUT M8 X 1.25 7-W (SP)
1704,NUT (S2) M8 X 1.25 (6) 7-Y (SP)
1705,NUT (S2) M10 X 1.25 (6) 7-Y (SP)
1706,NUT (S2) M10 X 1.25 (8) 4-W (SP)
1707,"NUT (S2) M10 X 1.25 (8) 7-W, H-110 (SP)"
1708,NUT (S2) M10 X 1.25 (8) 7-Y (SP)
1709,NUT (S2) M10 X 1.5 (8) 4-W (SP)
1710,Nut M10x1.5 8-B—d
1711,"NUT (S2) M12 X 1.25 (10) 7-W, H-110 (SP)"
1712,NUT (S2) M12 X 1.25 (10) 7-Y (SP)
1713,"NUT (S2) W 3/8"" X 16 (7) 4-B (SP)"
1714,"NUT (S2) W 5/8"" X 11 (12) 4-B (SP)"
1715,"NUT (S2) W 1"" X 8 (22) 4-B (SP)"
1716,SLOTTED NUT (SN) M12 X 1.25 (10) 7-W (SP)
1717,SLOTTED NUT (SN) M12 X 1.25 (10) 7-Y (SP)
1718,SLOTTED NUT (SN) M16 X 1.5 (14) 7-Y (SP)
1719,"SLOTTED NUT (SN) M16 X 2 (14) 8-W, H-110 (SP)"
1720,NYLON NUT M5 X 0.8 (5) 4-W (SP)
1721,NYLON NUT M6 X 1 (5) 4-W (SP)
1722,SELF LOCKING HEXAGON NUT M8 X 1.25 (5) 7-W (SP)
1723,SELF LOCKING HEXAGON NUT M8 X 1.25 7-Y (SP)
1724,WING NUT M8 X 1.25 (6) 7-W (SP)
1725,WING NUT M8 X 1.25 7-Y (PAKAI DW-1) (SP)
1726,PLAIN WASHER M5 4-W (SP)
1727,PLAIN WASHER M6 (6.6 X 12.5 X 1.6) 4-W (SP)
1728,PLAIN WASHER M6 (6.6 X 12.5 X 1.6) 4-Y (SP)
1729,PLAIN WASHER M8 (8.4 X 17 X 1.6) 4-W (SP)
1730,PLAIN WASHER M8 (8.4 X 17 X 1.6) 4-Y (SP)
1731,PLAIN WASHER M10 (10.5 X 21 X 2) 4-W (SP)
1732,PLAIN WASHER M10 (10.5 X 21 X 2) 4-Y (SP)
1733,PLAIN WASHER M12 4-Y
1734,PLAIN WASHER M12 (13 X 24 X 2.5) 4W (SP)
1735,PLAIN WASHER M12 (13 X 24 X 2.5) 4-Y (SP)
1736,PLAIN WASHER M16 (17 X 30 X 3) 4-Y (SP)
1737,SPRING WASHER M4 7-Y
1738,"SPRING WASHER M5 7-W, H-110 (SP)"
1739,SPRING WASHER M6 (6.1 X 12.2 X 1.5) 7-W
1740,SPRING WASHER M6 (6.1 X 12.2 X 1.5) 7-Y (SP)
1741,SPRING WASHER M6 (6.1 X 12.2 X 1.5) 8-B
1742,"SPRING WASHER W 5/16"" (8.2 X 15.4 X 2) 7-B"
1743,SPRING WASHER M8 (8.2 X 15.4 X 2) 7-W (SP)
1744,SPRING WASHER M8 (8.2 X 15.4 X 2) 7-Y
1745,"SPRING WASHER W 3/8"" (10.2 X 18.4 X 2.5) 7-B"
1746,SPRING WASHER M10 (10.2 X 18.4 X 2.5) 7-W
1747,SPRING WASHER M10 (10.2 X 18.4 X 2.5) 7-Y
1748,"SPRING WASHER W 7/16"""" (12.2 X 21.5 X 3) 7-B"
1749,SPRING WASHER M12 (12.2 X 21.5 X 3) 7-W
1750,SPRING WASHER M12 (12.2 X 21.5 X 3) 7-Y
1751,"SPRING WASHER W 1/2"" (13.2 X 21.5 X 3) 7-B"
1752,"SPRING WASHER W 1/2"" (13.2 X 21.5 X 3) 7-Y"
1753,SPRING WASHER M14 7-Y
1754,"SPRING WASHER W 5/8"" (16.2 X 28 X 4) 7-B"
1755,SPRING WASHER M16 (16.2 X 28 X 4) 7-W (SP)
1756,SPRING WASHER M16 (16.2 X 28 X 4) 7Y
1757,CAGE & NEEDLE ROLLER BEARING 16x20x10 (ASSEMBLIES)
1758,THRUST BEARING NO 51106 (SP)
1759,"SPHERICAL BEARING GE 17 ES, H-110 (SP)"
1760,"ROD END BEARING SA 17 ES, H-110 (SP)"
1761,OIL SEAL TC 12-25-7
1762,OIL SEAL TC 15-35-7
1763,OIL SEAL TC 16-28-7
1764,OIL SEAL TC 17-32-8
1765,OIL SEAL TC 20-35-7
1766,OIL SEAL TC 25-38-7
1767,OIL SEAL TC 25-47-7
1768,OIL SEAL TC 30-42-8
1769,OIL SEAL TC 30-50-8
1770,OIL SEAL TC 30-52-8
1771,OIL SEAL TC 30-55-12
1772,OIL SEAL TC 32-48-8
1773,OIL SEAL TC 35-55-11
1774,OIL SEAL TC 42-58-8
1775,OIL SEAL TC 42-60-9
1776,OIL SEAL TC 50-70-10
1777,OIL SEAL BQ 3273 30-62-16 (KECIL)
1778,OIL SEAL BQ 2811 40-70-20 QLFY
1779,OIL SEAL BQ 3119 45-70-19(BESAR)
1780,SNAP RING (TYPE C) SHAFT 12
1781,SNAP RING (TYPE C) SHAFT 16
1782,SNAP RING (TYPE C) SHAFT 17
1783,SNAP RING (TYPE C) SHAFT 19
1784,SNAP RING (TYPE C) SHAFT 20
1785,SNAP RING (TYPE C) SHAFT 21
1786,SNAP RING (TYPE C) SHAFT 25
1787,SNAP RING (TYPE C) SHAFT 28 (SP)
1788,SNAP RING (TYPE C) SHAFT 30
1789,SNAP RING (TYPE C) SHAFT 32
1790,SNAP RING (TYPE C) SHAFT 35
1791,SNAP RING (TYPE C) SHAFT 40
1792,SNAP RING (TYPE C) SHAFT 45
1793,SNAP RING (TYPE E) SHAFT 4
1794,SNAP RING (TYPE E) SHAFT 5
1795,"SNAP RING (C), HOLE USE 17"
1796,SNAP RING (TYPE C) HOLE 18
1797,"SNAP RING (TIPE C) HOLE 28, H-110 (SP)"
1798,SNAP RING (TYPE C) HOLE 30
1799,SNAP RING (TYPE C) HOLE 32
1800,SNAP RING (TYPE C) HOLE 35
1801,SNAP RING (TYPE C) HOLE 40
1802,SNAP RING (TYPE C) HOLE 42
1803,SNAP RING (TYPE C) HOLE 47 (SP)
1804,SNAP RING (TYPE C) HOLE 52 (SP)
1805,"SNAP RING HOLE 56, H-110 (SP)"
1806,SNAP RING (TYPE C) HOLE 62 (SP)
1807,SPLIT PIN DIA. 2.5 X 25
1808,SPLIT PIN DIA. 3 X 25
1809,SPLIT PIN DIA. 3 X 25 (STAINLESS STEEL)
1810,SPLIT PIN DIA 3 X 30 (SP)
1811,SPLIT PIN DIA. 3 X 50
1812,SPLIT PIN DIA. 5 X 32
1813,SPLIT PIN DIA. 5 X 40
1814,SPRING PIN DIA. 5 X 35
1815,SPRING PIN DIA. 6 X 30
1816,SNAP PIN FOR SHAFT DIA.5 (SP)
1817,SNAP PIN FOR SHAFT DIA.8 (SP)
1818,SNAP PIN FOR SHAFT DIA. 12 (SP)
1819,SNAP PIN FOR SHAFT DIA.16 (SP)
1820,"BLIND RIVET DIA. 3.2x11, H-110 (SP)"
1821,"DIESEL RD 65 DI-1S, KIT (V. PULLEY NEW MODEL)"
1822,"DIESEL RD 65 DIH-1S, KIT (V. PULLEY NEW MODEL)"
1823,"DIESEL RD 65 DI-2S, KIT (V. PULLEY NEW MODEL)"
1824,"DIESEL RD 85 DIH-1S, KIT (V. PULLEY NEW MODEL)"
1825,"DIESEL RD 85 DI-1S, KIT (V. PULLEY NEW MODEL)"
1826,"DIESEL RD 85 DI-2S, KIT (V. PULLEY NEW MODEL)"
1827,"DIESEL RD 110 DIH-2, KIT (V. PULLEY NEW MODEL)"
1828,"DIESEL RD 110 DI-2T, KIT (V. PULLEY NEW MODEL)"
1829,"DIESEL RD 110 DI-NB, KIT (V. PULLEY NEW MODEL)"
1830,Pompa Air Panasonic GP129 JXK
1831,Pompa Air Sanyo PW H137AC
1832,Sprayer Tasco MIST 5 L
1833,Sprayer Robot RB-16 E
1834,Mesin Potong Rumput / Brush Cutter STIHL FR 30001
1835,Mesin Gerinda 4 Inch Hitachi G10SS2
1836,Mesin Gerinda 4 Inch Bosch GWS 060
1837,Mesin Bor Beton 13 mm Bosch GSB 550
1838,Mesin Bor Baterai Cordless Drill Makita DF 331
1839,Chainsaw STIHL MS 180 16 Inch
1840,Chainsaw New WEST 588 20 Inch
1841,Pompa Air Shimizu PS-135E
1842,Kunci L Set / Hex Key Long Set 8 pcs (2-10 mm) Tekiro HK-LS1200
1843,AP Boots Terra Eco 3 ukuran 40
1844,AP Boots Terra Eco 3 ukuran 41
1845,AP Boots Terra Eco 3 ukuran 42
1846,Obeng Listrik Cordless Bosch GO 3.6 V
1847,Kubota Genuine Oil (3 LITER)
1848,Kubota Genuine Oil (2.5 LITER)
1849,BoltWith Washer RD 55-85-115
1850,BoltWith Washer RD 55-115
1851,Bolt
1852,Bolt
1853,Bolt
1854,BOLT RD75-115/KND75-80/ER700
1855,Bolt With Washer RD 55-85 DI
1856,Bolt Support Fuel Tank
1857,Bolt RD75-115/KND75-80/ER700
1858,Bolt
1859,Bolt
1860,Bolt
1861,Bolt
1862,Bolt RD 75-85
1863,Stud Radiator RD 50-85-115
1864,Stud Hopper RD 50-115 DI -2
1865,Stud Muffler RD 45-65-85-105-115
1866,Stud Radiator RD 160 / ER 190-220-250
1867,Stud Main Bearing Case RD 50-55-65-75-85
1868,Stud Muffler / MBC RD 160
1869,Stud Hopper RD 160 / KND 190-220-250-315
1870,Stud RD 160 / KND 180-1500
1871,Stud Holder Nozzle KND/ER 700-800-75-80-85-105
1872,Stud Holder Nozzle RD 50-65/KND 190-220
1873,Stud Holder Nozzle KND 250-315
1874,Stud Rocker Arm RD 160 / KND 190-220-250-315
1875,Stud
1876,Stud RD 85 DI
1877,Stud Muffler KND 190-220-250
1878,Stud Main Bearing Case RD 160 / KND 190-220-250-315
1879,Stud Main Bearing Case RD 160 / KND 190-220-250-315
1880,Stud Rocker Arm RD 75-85 / 105-115 DI -1/2
1881,Stud Muffler KND 300-315
1882,Bolt Assy Tension Pulley RD 85 DI -1/2 T
1883,Nut Shaft Decomp RD 75-85 / 105-115 DI -1/2
1884,Nut Shaft Decomp RD 50-55-65
1885,NutBolt Decomp RD 50-55-65
1886,Nut Shaft Speed Lever RD 65-85-115 DI
1887,Nut Rocker Arm RD 75-85 / 105-115 DI -1/2
1888,Nut Rocker Arm RD 45-65 /KND 180-190-220-250
1889,Nut Cover Oil Pump RD 160 / KND 180-190-220-250
1890,Plain Washer All Type
1891,Plain Washer RD 50-55-65
1892,Washer Spring
1893,Washer Spring
1894,Washer Spring
1895,Cir Clip Pulley Tension RD 160 / KND 180-190-220-250
1896,Cir Clip Idle Gear RD 160 / KND 180-190-220-250
1897,Cir Clip Ring Oil Filler KND/RD 50-85-115 DI-1/2
1898,Cir Clip Ring Oil Filler KND/ER180-190-220-250
1899,Cir Clip Ring Oil Filler KND/ER 300-315
1900,Cir Clip Starting Shaft RD 50-65/75-115
1901,Cir Clip Cam Shaft KND/ER/RD70-75-85-90A-115 DI - D
1902,Cir Clip Shaft Idle Gear RD 160 / KND 190-220-250-315
1903,Cir Clip Cam Shaft RD 160 / KND 190-220-250-315
1904,Cir Clip Shaft Balancer RD 160 / KND 190-220-250-315
1905,Cir Clip Shaft Decomp RD 45-50-55-65
1906,Cir Clip Shaft Governor Lever RD 50-65/75-115
1907,Washer Seal Cover Head RD 50-55-65
1908,O-Ring Flange A/C RD 50-65
1909,O-Ring Cylinder Liner RD 85 DI 1/2 - S
1910,O-Ring Cover MBC RD 95-105-115 / ER 800-900
1911,O-Ring Plug Oil Filler RD 160 / KND 190-220-250-315
1912,O-Ring Flange A/C RD 85 DI-1/2
1913,O-Ring Cylinder Head RD 65-85-115 DI
1914,Key Cam Shaft RD 85-115 DI -1/2
1915,Key Gear Crank RD 45-55-65
1916,Key Shaft Start RD 160 / KND 180-190-220-250-315
1917,Key Shaft Start KND 65 / 5B
1918,Key Cam Shaft RD 50-55-65
1919,Key Gear Crank KND/ER 140-155-160
1920,Key Shaft Balancer RD 85-105-115 DI -2
1921,Key Gear Crank RD 75-85 / 105-115 DI -1/2
1922,Key Gear Crank RD 160 / KND 180-190-220-250-315
1923,Key Shaft Balancer RD 160 / KND 180-190-220-250-315
1924,Key Flywheel GA/ER 30-40-65-70-100
1925,Key Cam Shaft KND/ER 75-85
1926,Key Feather
1927,Key Cam Shaft KND/RD 85-115 DI
1928,Key Cam Shaft RD 160 / KND 180-190-220-250
1929,Key Cam Shaft KND/ER 140-155-160
1930,Key Flywheel RD 50-85-115 (OLD )/180-190-220-250
1931,Key Flywheel KND 180-190-220-250(PANJANG)
1932,Ball Relief Valve RD 45-65-75-85 DI - 2
1933,Ball RD 75-85-105-115 / KND 80-155
1934,Ball Governor Lever RD 160 / KND 180-220-250-315
1935,Ball ER 90 / KND 90-120
1936,Spring Valve KND 65 / 5B
1937,Collet Valve Spring KND 65 / 5B
1938,O-Ring Rotor KND 65 / 5B
1939,Rear Plug Lamp Assy RD 85 DI -1/2 T
1940,Gasket Muffler NA KND 190-220-250
1941,Seal Oil Crank Shaft RD 160 / KND 180-190-220-250
1942,O-Ring Rotor RD 160 / KND 180-190-220-250-315
1943,Seal Oil Starting RD 160 / KND 180-190-220-250-315
1944,O-Ring Ring Oil Filler RD 160 / KND 180-190-220-250
1945,O-Ring Shaft Decomp RD 160 / KND 180-190-220-250
1946,O-Ring Main Bearing Case RD 160 / KND 180-190-220-250
1947,O-Ring Shaft Control Lever RD 160 / KND 190-220-250 - D
1948,Gasket Hopper NA RD 50-55-65 H
1949,V Pulley RD 45-55-65(Dia 80 MM)
1950,O-Ring Cylinder Liner RD 50-55-65
1951,Gasket Gear Case NA RD 50-55-65
1952,O-Ring Main Bearing Case RD 50-55-65
1953,Gasket Crank Case Cover NA RD 50-55-65
1954,Packing Cover Breather RD 55-65-85 DI
1956,Nut Wing RD 50-55-65
1957,Gasket Air Cleaner FlangeNA RD 45-55-65
1958,Gasket Muffler NA RD 50-55-65
1959,O-Ring Cover CamShaft RD 50-55-65
1960,Crank Shaft Assy RD 50-55-65
1961,O-Ring Plug Oil Filler RD 65-85-115 DI
1962,Gasket Decomp Cover NA RD 50-55-65
1963,O-Ring Shaft Governor Lever RD 50-55-65
1964,O-Ring Shaft Speed Lever RD 50-55-65
1965,Gasket Main Bearing CaseNA KND 250 - D
1966,Lamp Head Assy KND/RD 70-85 DI
1967,Cover Cylinder Head RD 75-85 DI -1/2
1968,Gasket Air Cleaner FlangeNA KND 300-315
1969,Collar 1 Cam Shaft KND 300-315
1970,Gear Balancer 2 KND 300-315
1971,Gear Balancer 3 KND 300-315
1972,Plug Oil Filler KND 300-315
1973,Fuel Tank Assy KND 300-315(BLUE)
1974,Pipe Fuel 1 Assy KND 300-315
1975,Pipe Fuel 2 Assy KND 300-315
1976,Pipe Over Flow Assy KND 300-315
1978,Rubber Arbsorber All Type(KI-031) - D
1979,O-Ring Cylinder Liner RD 75-85 DI -1/2
1980,O-Ring Main Bearing Case RD 75-85 / ER 600-700
1981,O-Ring Cover CamShaft KND/RD 75-85-115 DI-1/2
1982,Crank Shaft Assy RD 75-85 DI -1/2
1983,O-Ring Filter Oil RD 65 - 85 DI
1984,O-Ring Ring Oil Filler RD50-70 / 85-105 DI -1/2
1985,Rubber Arbsorber All Type(KI-032) - D
1986,Pulley Tension Assy RD 75-85 DI -1/2
1987,O-Ring Shaft Decomp KND/RD 45-115 DI
1988,O-Ring Pin Pipe RD 65-85-115
1989,O-Ring Cylinder Liner RD 95-105-115 DI
1990,O-Ring Main Bearing Case RD 105-110 DI-2
1991,Crank Shaft Assy RD 95-110-115 DI-2
1992,Ring Piston RD 45-50
1993,Piston RD 45-50 - D
1994,Piston RD 45-50
1995,Injection Pump Assy RD 45-50
1996,Spring Governor RD 45
1997,Cylinder Liner RD 55
1998,Ring Piston RD 55
1999,Piston RD 55
2000,Flywheel RD 55
2001,Spring Governor RD 55
2002,Cylinder Liner RD 65 DI 1/2 S
2003,Stud Head RD 45-55-65
2004,Main Bearing Case Comp RD 50-55-65
2005,Guard Oil RD 45-55-65
2006,Flange Air Cleaner RD 45-55-65 (OLD)
2007,Muffler RD 45-55-65
2008,Valve Inlet RD 45-55-65
2009,Valve Exhaust RD 45-55-65
2010,Bracket Rocker Arm Assy RD 45-65-55
2011,Guide Oil RD 45-65-55
2012,Stud Bracket R/A RD 45-55-65
2013,Cover Cylinder Head RD 45-50-55-65
2014,Gasket Head Cover RD 45-55-65
2015,Push Rod Valve RD 45-55-65
2016,Cam Shaft RD 45-50-55-65
2017,Ring Piston RD 65 - DI 1/2 T-S
2018,Piston RD 65
2019,Pin Piston RD 55-65-70
2020,Cir Clip Piston Pin RD 45-55-65
2021,Bush Pin Piston RD 45-55-65
2022,Bearing Main - 1 RD 45-55-65 (OLD)(TMB 309 C3-NTN)
2023,Retainer Main Bearing RD 45-55-65
2024,Gear Idle Comp RD 65 DI 2 S
2025,Gear Crank Shaft RD 45-55-65
2026,Flywheel RD 65
2027,Gear Balancer 1 RD 65 DI 2 S
2028,Gear Balancer 2 RD 65 DI 2 S
2029,Gear Balancer 3 RD 65 DI 2 S
2030,Ring Oil Filler RD 50-55-65
2031,Support Fuel Tank 1 RD 65(ORANGE-Lamp)
2032,Support Fuel Tank 2 RD 45-55-65
2033,Cushion Fuel Tank RD 50-55-65
2034,Cushion Rubber 1 RD 50-55-65
2035,Cushion Rubber 2 RD 50-55-65
2036,Washer Cushion 1 RD 50-55-65
2037,Pipe Fuel 1 Assy RD 50-55-65
2038,Pipe Fuel 2 Assy RD 50-55-65
2039,Pipe Air Vent 1 Assy RD 50-55-65
2040,Pipe Over Flow Assy RD 50-55-65(Radiator)
2041,Pipe Injection RD 50-55-65-70
2042,Apparatus Fuel Limiter RD 45-55-65(Non Lamp)
2043,Governor Lever Comp RD 45-55-65
2044,Shaft Governor Lever RD 50-55-65
2045,Spring Governor RD 65
2046,Shaft Lever Speed Comp RD 45-55-65
2047,Starting Handle RD 50-55-65
2048,Shaft DecompRESSAssy RD 50-55-65
2049,Reflector Comp RD 50-55-65
2050,Radiator Assy RD 50-55-65
2051,Net Radiator RD 50-55-65(BLACK)
2052,Support Radiator Net RD 45-55-65
2053,Fan Cooling Assy RD 50-65
2054,Cover Fan RD 50-55-65
2055,Support Fan Cover RD 45-55-65
2056,Bonnet RD 50-55-65
2057,Washer Cushion 1 RD 50-55-65
2058,Connecting Rod Assy RD 45-55-65
2059,Metal Crank Pin STD RD 45-55-65
2060,Metal Crank Pin 0.25 RD 45-55-65
2061,Metal Crank Pin 0.50 RD 45-55-65
2062,Cover Crank Case RD 45-65
2063,Cylinder Liner RD 75
2064,Ring Piston RD 75
2065,Piston RD 75 DI
2066,Bearing Main - 2 RD 75 DI -2(TMB 309 N-C3)
2067,Injection Pump Assy RD 65 - 75 DI 1/2 S
2068,Cylinder Liner RD 85 DI -1/2
2069,Gear Case Comp RD 85 DI -1/2(SEN)
2070,Main Bearing Case Comp RD 85 DI -1/2
2071,Side Appron  RD 85 DI - 1 SEN
2072,Guide Oil RD 75-85 DI -1/2
2073,Stopper Cam Shaft RD 50-115 DI -2
2074,Collar Cam Shaft RD 85 DI -1/2
2075,Gear Cam Shaft RD 45-65-75-85
2076,Piston RD 85 DI -1/2
2077,Bearing Main - 2 RD 85 DI - 2(309 N - NSK)
2078,Retainer Main Bearing RD 75-85 DI -1/2
2079,Gear Idle Comp RD 85 DI -2
2080,Shaft Idle Gear RD 85 DI -2
2081,Bush Idle Gear RD 85 DI - 2
2082,Rotor O/P Assy RD 65-85-115 DI (New)
2083,Spring Release Oil RD 85 DI -1/2
2084,Support Fuel Tank 1 RD 85 DI -1(ORANGE)
2085,Support Fuel Tank 2 RD 75-85 DI -1/2
2086,Cushion Fuel Tank RD 75-85 DI-1/2
2087,Cushion Rubber 1 RD 75-85 DI -1/2
2088,Cushion Rubber 2 RD 75-85 DI -1/2
2089,Collar A RD 75-85 DI -1/2
2090,Washer Cushion 1 RD 75-85 DI -1/2
2091,Washer Cushion 2 RD 75-85 DI -1/2
2092,Rim 1 Fuel Tank RD 75-85 DI -1/2
2093,Rim 2 Fuel Tank RD 85 DI -1/2
2094,Injection Pump Assy RD 85 DI -1/2
2095,Plunger RD 85 DI -1/2(K-154)
2096,Pipe Injection RD 75-85 DI -1/2
2097,Clamp Pipe Injection RD 75-85 / 105-115 DI -1/2
2098,Apparatus Fuel Limiter RD 75-85-105-115 DI-2N(Non Lamp)
2099,Governor Weight Assy RD 85 DI -1/2
2100,Lever 1 Governor Comp RD 75-85 DI-1/2 T
2101,Shaft Governor Lever RD 75-85 / 105 -115
2102,Governor Lever 2 RD 75-85-105-115 DI-N
2103,Shaft Lever Speed Comp RD 75-85 / 95-105 DI -1/2
2104,Holder Release RD 45-115 DI -1/2
2105,Support Starting Handle RD 45-55-65
2106,Gear Starting  RD 75-85 DI - 1/2
2107,Lamp Head Assy RD 65
2108,Reflector Comp RD 85-105 DI -1/2
2109,Radiator Assy RD 75-85 DI -1/2 - D
2110,Net Radiator RD 75-85 DI -1/2
2111,Support Radiator Net RD 75-85 DI -1/2
2112,Cover Fan RD 75-85 DI -1/2
2113,SUPPORT FAN COVER RD 75-85 DI -1/2
2114,BONNET RD 85 DI -1(ORANGE)
2115,WASHER CUSHION 1 RD 75-85 / 105-115 DI -1/2
2116,CONNECTING ROD ASSY RD 75-85 DI -1/2
2117,METAL CRANK PIN STD RD 75-85 DI -1/2
2118,METAL CRANK PIN 0.25 RD 75-85 DI -1/2
2119,METAL CRANK PIN 0.50 RD 75-85 DI -1/2
2120,COVER CRANK CASE RD 75-85 / 105-115 DI -1/2
2122,PISTON RD 95
2123,METAL CRANK PIN STD RD 105-115 K/E 900
2124,METAL CRANK PIN 0.25 RD 105-115 K/E 900
2125,METAL CRANK PIN 0.50 RD 105-115 K/E 900
2126,CRANK CASE COMP RD 105-110 DI-2
2127,GEAR CASE COMP RD 105-110 DI-2
2128,MAIN BEARING CASE COMP RD 105-110 DI-2
2129,VALVE INLET RD 95-105-115-110-140DI
2130,VALVE EXHAUST RD 95-105-115-110-140 DI
2131,CAM SHAFT RD 105-110 DI-2
2132,GEAR CAM SHAFT RD 105-115 DI-2
2133,RING PISTON RD 115
2134,PISTON RD115
2135,BEARING MAIN - 2 RD 105-110 DI-2(NUP 310 N-KOYO)
2136,RETAINER MAIN BEARING RD 105-110 DI-2
2137,GEAR IDLE COMP RD 105-110 DI-2
2138,SHAFT IDLE GEAR RD 105-110 DI-2
2139,SUPPORT FUEL TANK 2 RD 105-110 DI-2
2140,INJECTION PUMP ASSY RD 105 - 110 - 115 DI -2
2141,HOLDER NOZZLE ASSY RD 105-110 DI-2
2142,PIECE NOZZLE RD 105-110 DI-2/ RD 140 (1T071-53610)
2143,PIPE INJECTION RD 105-110 DI-2
2144,LEVER 1 GOVERNOR COMP RD 105-115 DI-2
2145,GEAR STARTING  RD 105-110 DI-2
2146,RADIATOR ASSY RD 105-110 DI-2
2147,SUPPORT RADIATOR NET RD 105-110 DI-2
2148,SUPPORT FAN COVER RD 105-110 DI-2
2149,GASKET CYLINDER HEAD NA RD 95-105-110-115 DI
2150,FAN COOLING ASSY RD 105-115 DI N
2151,CYLINDER HEAD ASSY RD 45
2152,CYLINDER HEAD ASSY RD 55
2153,CRANK CASE COMP RD 50-55-65
2154,CYLINDER HEAD ASSY RD 65
2155,GEAR CASE COMP RD 45-65 T
2156,SIDE APPRON  RD 50-55-65(RED)
2157,SUPPORT FUEL TANK 1 RD 55-65(RED-LAMP)
2158,PULLEY TENSION ASSY RD 50-55-65
2159,SUPPORT FUEL TANK 1 RD 50-55-65 H(RED - N)
2160,SIDE APPRON RD 50-55-65 H
2161,SUPPORT FUEL TANK 1 RD 50-55-65(BLUE)
2162,COVER TANK RD 50-55-65
2163,PIPE OVER FLOW ASSY RD 50-55-65 H(HOPPER)
2164,HOPPER RD 55-65 H
2165,BONNET RD 50-55-65
2166,SIDE APPRON RD 75-85 DI - 2(RED)
2167,SUPPORT FUEL TANK 1 RD 85 DI -2(RED)
2168,"FUEL FILTER, ASSY RD 45-115 DI-1/2/RD 140-150 (11251-43010)"
2169,SPRING GOVERNOR RD 85 DI-1/2
2170,GEAR STARTING 1 RD 45-55-65
2171,GEAR STARTING 2 RD 45-55-65
2172,SUPPORT FUEL TANK 1 RD 75-115 DI-N(RED)
2173,SUPPORT FUEL TANK 1 RD 75-115 DI-N-H(BLUE)
2174,COVER TANK RD 75-85 / 105-115 DI -1/2
2175,HOPPER RD 75-85
2176,BONNET RD 85 DI -2 (RED)
2177,CYLINDER HEAD ASSY RD 95-105-115 DI
2178,FLANGE AIR CLEANER RD 95-105-115 DI - D
2179,SPRING GOVERNOR RD 105-110 DI-2
2180,PULLEY TENSION ASSY RD 105-110 DI-2
2181,HOPPER RD 115 DI-2 H
2182,GASKET HOPPER NA RD 95-105-115 DI
2183,BREATHER VALVE ASSY RD 75-85 / 105-115 DI -1/2
2184,GASKET CYLINDER HEAD NA RD 75-85
2185,GASKET CYLINDER HEAD NA RD 45-55-50-65
2186,PACKING NOZZLE RD 45-65-160/KND180-5B/ER700
2187,DELIVERY VALVE KND 65-120/ER180
2188,TAPPET ASSY RD 160 / KND 180
2189,SPRING DELIVERY VALVE KND 180-1500-65-5B
2190,GASKET DELIVERY VALVE RD 160 / KND 80 180-1500
